symbol,isin,fmv_31jan2018
CYBERMEDIA,INE278G01037,17.75
CYBERTECH,INE214A01019,82.1
CYIENT,INE136B01020,648
DAAWAT,INE818H01020,94.15
DABUR,INE016A01026,360.8
DALMIABHA,INE439L01019,2962.05
DALMIASUG,INE495A01022,107.7
DAMODARIND,INE497D01014,126.9
DATAMATICS,INE365B01017,135.5
DBCORP,INE950I01011,335.45
DBL,INE917M01012,929
DBREALTY,INE879I01012,63.4
DBSTOCKBRO,INE921B01025,10.4
DCAL,INE385W01011,385
DCBBANK,INE503A01015,181.45
DCM,INE498A01018,105.5
DCMSHRIRAM,INE499A01024,598.95
DCW,INE500A01029,40.85
DECCANCE,INE583C01021,587
DEEPAKFERT,INE501A01019,404.7
DEEPAKNTR,INE288B01029,284
DEEPIND,INE677H01012,210.85
DELTACORP,INE124G01033,364
DELTAMAGNT,INE393A01011,73.95
DEN,INE947J01015,113.15
DENABANK,INE077A01010,25.4
DENORA,INE244A01016,397.5
DFMFOODS,INE456C01012,1634.95
DHAMPURSUG,INE041A01016,192.3
DHANBANK,INE680A01011,27.15
DHANUKA,INE435G01025,783.75
DHARSUGAR,INE988C01014,26.55
DHFL,INE202B01012,594
DHFL,INE202B07HL1,1000.06
DHFL,INE202B07HN7,1008
DHFL,INE202B07HP2,1036
DHFL,INE202B07HR8,1054.8
DHFL,INE202B07HT4,1040
DHFL,INE202B07HV0,1065
DHFL,INE202B07IK1,1225
DHFL,INE202B07IM7,1035
DHFL,INE202B07IO3,1046
DHUNINV,INE320L01011,463
DIAMONDYD,INE393P01035,1170
DIAPOWER,INE989C01012,19
DICIND,INE303A01010,559
DIGJAMLTD,INE731U01010,14
DISHTV,INE836F01026,75.9
DIVISLAB,INE361B01024,1079.9
DIXON,INE935N01012,3835
DLF,INE271C01023,257.6
DLINKINDIA,INE250K01012,133.9
DMART,INE192R01011,1210
DNAMEDIA,INE016M01021,9.45
DOLLAR,INE325C01035,460
DOLPHINOFF,INE920A01011,121.3
DONEAR,INE668D01028,68.7
DPABHUSHAN,INE266Y01019,71.25
DPL,INE477B01010,156
DPSCLTD,INE360C01024,30.5
DPWIRES,INE864X01013,86.5
DQE,INE656K01010,17.7
DREDGECORP,INE506A01018,789.9
DRREDDY,INE089A01023,2306.15
DSKULKARNI,INE891A01014,20.4
DSSL,INE417B01040,45.6
DTIL,INE341R01014,439.9
DUCON,INE741L01018,43.55
DWARKESH,INE366A01041,44.2
DYNAMATECH,INE221B01012,1888.8
DYNPRO,INE256H01015,187
EASTSILK,INE962C01027,5.75
EASUNREYRL,INE268C01029,19.45
ECEIND,INE588B01014,376.5
ECLERX,INE738I01010,1524.55
ECLFINANCE,INE804I07SI2,1080
ECLFINANCE,INE804I08601,1062.1
ECLFINANCE,INE804I08619,1125
ECLFINANCE,INE804I08627,1612
ECLFINANCE,INE804I07ZJ5,1067
EDELWEISS,INE532F01054,290
EDL,INE180G01019,50.35
EDUCOMP,INE216H01027,8.9
EHFLNCD,INE530L07178,1045
EHFLNCD,INE530L07210,1060
EHFLNCD,INE530L07228,1104.9
EICHERMOT,INE066A01013,27387
EIDPARRY,INE126A01031,337.5
EIFFL,INE546V01010,153
EIHAHOTELS,INE276C01014,509.7
EIHOTEL,INE230A01023,199.2
EIMCOELECO,INE158B01016,508
EKC,INE184H01027,57.7
ELAND,INE311H01018,18.65
ELECON,INE205B01023,94.25
ELECTCAST,INE086A01029,34.9
ELECTHERM,INE822G01016,162.8
ELGIEQUIP,INE285A01027,318.7
ELGIRUBCO,INE819L01012,50.4
EMAMIINFRA,INE778K01012,335
EMAMILTD,INE548C01032,1144.9
EMCO,INE078A01026,20.45
EMKAY,INE296H01011,223.9
EMMBI,INE753K01015,199.5
ENDURANCE,INE913H01037,1207.9
ENERGYDEV,INE306C01019,27.45
ENGINERSIN,INE510A01028,179
ENIL,INE265F01028,745
EON,INE076H01025,102.8
EQ30,INF754K01EM9,244.9
EQUITAS,INE988K01017,151.35
ERIS,INE406M01024,787.9
EROSMEDIA,INE416L01017,207.3
ESABINDIA,INE284A01012,794.5
ESCORTS,INE042A01014,842
ESL,INE481K01013,4.8
ESSARSHPNG,INE122M01019,28.9
ESSDEE,INE825H01017,73.4
ESSELPACK,INE255A01020,292
ESTER,INE778B01029,73.35
EUROCERA,INE649H01011,7.95
EUROTEXIND,INE022C01012,37.95
EVEREADY,INE128A01029,421
EVERESTIND,INE295A01018,579.9
EXCEL,INE688J01015,36
EXCELCROP,INE223G01017,3640
EXCELINDUS,INE369A01029,729.95
EXIDEIND,INE302A01020,228.05
FACT,INE188A01015,64
FAIRCHEM,INE959A01019,412.65
FCL,INE045J01026,68.9
FCONSUMER,INE220J01025,65.5
FDC,INE258B01022,236.8
FEDDERELEC,INE249C01011,80.2
FEDERALBNK,INE171A01029,101.9
FEL,INE623B01027,42.95
FELDVR,IN9623B01058,42.5
FELIX,INE901X01013,33
FIEMIND,INE737H01014,942.05
FILATEX,INE816B01019,218.75
FINCABLES,INE235A01022,744
FINPIPE,INE183A01016,649.85
FIRSTWIN,INE315J01015,3.3
FLEXITUFF,INE060J01017,79.45
FLFL,INE452O01016,385.9
FMGOETZE,INE529A01010,553.95
FMNL,INE360L01017,138.65
FOCUS,INE593W01010,183
FORTIS,INE061F01013,147.5
FORTUNEFIN,INE924D01017,258
FOSECOIND,INE519A01011,1799.4
FOURTHDIM,INE382T01014,199.85
FRETAIL,INE752P01024,562.8
FSC,INE935Q01015,689
FSL,INE684F01012,42.35
GABRIEL,INE524A01029,173.75
GAEL,INE036B01022,245
GAIL,INE129A01019,483.7
GAL,INE482J01021,9.3
GALLANTT,INE297H01019,43.75
GALLISPAT,INE528K01011,328.9
GAMMNINFRA,INE181G01025,3.6
GAMMONIND,INE259B01020,6.45
GANDHITUBE,INE524B01027,427.5
GANECOS,INE845D01014,409.7
GANESHHOUC,INE460C01014,161.9
GANGESSECU,INE335W01016,100.4
GARDENSILK,INE526A01016,41.2
GARWALLROP,INE276A01018,1024.95
GATI,INE152B01027,133.45
GAYAPROJ,INE336H01023,212
GDL,INE852F01015,233.25
GEECEE,INE916G01016,154.7
GEEKAYWIRE,INE669X01016,38
GEMINI,INE878C01033,1.2
GENESYS,INE727B01026,294
GENUSPAPER,INE949P01018,16
GENUSPOWER,INE955D01029,80.9
GEOJITFSL,INE007B01023,110.9
GEPIL,INE878A01011,944.85
GESHIP,INE017A01032,408.7
GET&D,INE200A01026,436.15
GHCL,INE539A01019,325
GICHSGFIN,INE289B01019,434
GICRE,INE481Y01014,767.4
GILLANDERS,INE047B01011,77
GILLETTE,INE322A01010,6698.8
GINNIFILA,INE424C01010,38.2
GIPCL,INE162A01010,121.7
GIRRESORTS,INE316N01015,262.5
GITANJALI,INE346H01014,69.5
GKWLIMITED,INE528A01020,646
GLAXO,INE159A01016,2468.55
GLENMARK,INE935A01035,614.75
GLOBALVECT,INE792H01019,159.75
GLOBOFFS,INE446C01013,35.8
GLOBUSSPR,INE615I01010,141.95
GMBREW,INE075D01018,916.75
GMDCLTD,INE131A01031,149.8
GMRINFRA,INE776C01039,22.5
GNA,INE934S01014,458.95
GNFC,INE113A01013,486
GOACARBON,INE426D01013,962.7
GOCLCORP,INE077F01035,628
GODFRYPHLP,INE260B01028,953.65
GODREJAGRO,INE850D01014,579
GODREJCP,INE102D01028,1071.95
GODREJIND,INE233A01035,613
GODREJPROP,INE484J01027,809.9
GOENKA,INE516K01024,0.55
GOKEX,INE887G01027,115.5
GOKUL,INE020J01029,21.3
GOKULAGRO,INE314T01025,26.05
GOLDBEES,INF732E01102,2720
GOLDIAM,INE025B01017,79.45
GOLDINFRA,INE260D01016,227
GOLDIWIN,INF109KB1WF4,275.85
GOLDSHARE,INF789F01059,2669
GOLDTECH,INE805A01014,15.9
GOODLUCK,INE127I01024,126.35
GPIL,INE177H01013,566.6
GPPL,INE517F01014,145.8
GPTINFRA,INE390G01014,214.5
GRANULES,INE101D01020,133.9
GRAPHITE,INE371A01025,812
GRASIM,INE047A01021,1167.95
GRAVITA,INE024L01027,176.45
GREAVESCOT,INE224A01026,140.55
GREENLAM,INE544R01013,1310
GREENPLY,INE461C01038,362.55
GREENPOWER,INE999K01014,12.35
GRINDWELL,INE536A01023,537.5
GROBTEA,INE646C01018,1777
GRPLTD,INE137I01015,1550
GRUH,INE580B01029,593.2
GSCLCEMENT,INE542A01039,34.2
GSFC,INE026A01025,146.5
GSKCONS,INE264A01014,6940
GSPL,INE246F01010,204.85
GSS,INE871H01011,35.9
GTL,INE043A01012,14.85
GTLINFRA,INE221H01019,6.1
GTNIND,INE537A01013,18
GTNTEX,INE302H01017,21.7
GTPL,INE869I01013,164.9
GUFICBIO,INE742B01025,124.3
GUJALKALI,INE186A01019,775.8
GUJAPOLLO,INE826C01016,229.05
GUJFLUORO,INE538A01037,850
GUJGASLTD,INE844O01022,865
GUJNRECOKE,INE110D01013,1.3
GUJNREDVR,IN9110D01011,1.3
GUJRAFFIA,INE610B01024,83
GULFOILLUB,INE635Q01029,917.9
GULFPETRO,INE586G01017,83.7
GULPOLY,INE255D01024,84.85
GVKPIL,INE251H01024,21.25
H1190M36RG,INF179KB1PA4,9.46
HANUNG,INE648H01013,4
HARITASEAT,INE939D01015,999.7
HARRMALAYA,INE544A01019,87.3
HATHWAY,INE982F01036,41.6
HATSUN,INE473B01035,811.5
HAVELLS,INE176B01034,540
HBLPOWER,INE292B01021,62.7
HBSTOCK,INE550B01014,49.5
HCC,INE549A01026,40.1
HCG,INE075I01017,353.8
HCL-INSYS,INE236A01020,54.9
HCLTECH,INE860A01027,1017.9
HDFC,INE001A01036,1963.05
HDFC,INE001A13031,496.7
HDFCBANK,INE040A01026,2013.5
HDFCLIFE,INE795G01014,432.9
HDFCMFGETF,INF179K01CN1,2780.05
HDFCNIFETF,INF179KB1KP3,1131.98
HDIL,INE191I01012,59.45
HEG,INE545A01016,2915
HEIDELBERG,INE578A01017,157.75
HERCULES,INE688E01024,142.8
HERITGFOOD,INE978A01027,768
HEROMOTOCO,INE158A01026,3747.9
HESTERBIO,INE782E01017,1620
HEXATRADEX,INE750M01017,71
HEXAWARE,INE093A01033,386
HFCL,INE548A01028,30
HGS,INE170I01016,939
HIGHGROUND,INE361M01021,14.5
HIKAL,INE475B01022,225.35
HIL,INE557A01011,1790
HILTON,INE788H01017,39
HIMATSEIDE,INE049A01027,364.65
HINDALCO,INE038A01020,263.2
HINDCOMPOS,INE310C01029,483.05
HINDCOPPER,INE531E01026,86.75
HINDDORROL,INE551A01022,8
HINDMOTORS,INE253A01025,9
HINDNATGLS,INE952A01022,162.9
HINDOILEXP,INE345A01011,129.8
HINDPETRO,INE094A01015,400.65
HINDSYNTEX,INE155B01012,14.1
HINDUJAVEN,INE353A01023,749.2
HINDUNILVR,INE030A01027,1400
HINDZINC,INE267A01025,316.15
HIRECT,INE835D01023,126.95
HISARMETAL,INE598C01011,101
HITECH,INE106T01017,401.8
HITECHCORP,INE120D01012,174.7
HITECHGEAR,INE127B01011,494.15
HMT,INE262A01018,37.85
HMVL,INE871K01015,256.7
HNGSNGBEES,INF732E01227,3325
HONAUT,INE671A01010,17050
HONDAPOWER,INE634A01018,1457.15
HOTELEELA,INE102A01024,22.9
HOVS,INE596H01014,288
HPL,INE495S01016,155.8
HSCL,INE019C01026,181.95
HSIL,INE415A01038,454.55
HTMEDIA,INE501G01024,102.3
HUBTOWN,INE703H01016,122.05
HUDCO,INE031A01017,82.65
HUDCO,INE031A07840,1219
HUDCO,INE031A07832,1153
HUDCO,INE031A07857,1074
HUDCO,INE031A07865,1090.1
HUDCO,INE031A07AO5,1115
HUDCO,INE031A07AT4,1125
HUDCO,INE031A07949,1204
IBREALEST,INE069I01010,227.5
IBULHSGFIN,INE148I01020,1415.55
IBULHSGFIN,INE148I07GD0,1099
IBULHSGFIN,INE148I07GJ7,1002
IBULHSGFIN,INE148I07GL3,1059
IBVENTURES,INE274G01010,255.7
ICEMAKE,INE520Y01019,101.4
ICICIBANK,INE090A01021,353.95
ICICIGI,INE765G01017,805
ICICIPRULI,INE726G01019,414.85
ICIL,INE483B01026,107.5
ICRA,INE725G01011,3989
ICSA,INE306B01029,4.5
IDBI,INE008A01015,62.1
IDBIGOLD,INF397L01554,2845
IDEA,INE669E01016,96.1
IDFC,INE043D01016,57.2
IDFCBANK,INE092T01019,57.6
IDFCBANK,INE092T08CC6,4945
IDFCBANK,INE092T08CD4,8457
IDFCBANK,INE092T08CE2,4930.02
IDFCBANK,INE092T08CF9,8010
IDFCBANK,INE092T08CG7,5252
IDFCBANK,INE092T08CH5,8290
IDFCBANK,INE092T08CI3,5242
IDFCBANK,INE092T08CJ1,8380
IDFCBANK,INE092T08CK9,5075
IDFCBANK,INE092T08CL7,8410
IDFCBANK,INE092T08CM5,5362.06
IDFCBANK,INE092T08CN3,8101
IDFCBANK,INE092T08CO1,5252
IDFCBANK,INE092T08CP8,7749
IDFNIFTYET,INF194KA1U07,112
IEX,INE022Q01012,1610
IFBAGRO,INE076C01018,819
IFBIND,INE559A01017,1285
IFCI,INE039A01010,29.1
IFCI,INE039A07751,1038.2
IFCI,INE039A07777,1014.95
IFCI,INE039A07801,1024
IFCI,INE039A07843,1010
IFGLEXPOR,INE133Y01011,297
IGARASHI,INE188B01013,845
IGL,INE203G01027,310
IGPL,INE204A01010,728
IIFCL,INE787H07370,1260
IIFL,INE530B01024,735.9
IIFLFIN,INE866I08139,1023.99
IIFLFIN,INE866I08154,1935.4
IIFLFIN,INE866I07594,1035.9
IIHFL,INE477L07040,1035
IIHFL,INE477L08014,1069.5
IIHFL,INE477L08022,1605.1
IITL,INE886A01014,110
IL&FSENGG,INE369I01014,46.5
IL&FSTRANS,INE975G01012,79.4
IMFA,INE919H01018,678.4
IMPAL,INE547E01014,1145
INDBANK,INE841B01017,32.75
INDHOTEL,INE053A01029,145.6
INDIACEM,INE383A01012,171.25
INDIAGLYCO,INE560A01015,526.95
INDIANB,INE562A01011,372.9
INDIANCARD,INE061A01014,191.5
INDIANHUME,INE323C01030,414
INDIGO,INE646L01027,1225
INDIGRID,INE219X23014,92.49
INDLMETER,INE065B01013,122
INDNIPPON,INE092B01017,1136
INDOCO,INE873D01024,282.95
INDORAMA,INE156A01020,42.85
INDOSOLAR,INE866K01015,11
INDOTECH,INE332H01014,210.75
INDOTHAI,INE337M01013,91.9
INDOWIND,INE227G01018,12.2
INDRAMEDCO,INE681B01017,56.95
INDSWFTLAB,INE915B01019,63.6
INDSWFTLTD,INE788B01028,9.3
INDTERRAIN,INE611L01021,216
INDUSINDBK,INE095A01012,1761
INEOSSTYRO,INE189B01011,1007.9
INFIBEAM,INE483S01020,158.5
INFINITE,INE486J01014,398
INFOBEAN,INE344S01016,85
INFRABEES,INF732E01268,372.21
INFRATEL,INE121J01017,353.95
INFY,INE009A01021,1166.6
INGERRAND,INE177A01018,793.5
INNOVANA,INE403Y01018,164
INNOVATIVE,INE070Y01015,59.25
INOXLEISUR,INE312H01016,281.2
INOXWIND,INE066P01011,132.4
INSECTICID,INE070I01018,834.8
INTELLECT,INE306R01017,181.65
INTENTECH,INE781A01025,100.5
INVENTURE,INE878H01016,14.45
IOB,INE565A01014,22.9
IOC,INE242A01010,427.4
IOLCP,INE485C01011,75.65
IPAPPM,INE435A01028,364
IPCALAB,INE571A01020,589
IPRU9008,INF109KB1TZ8,11.58
IRB,INE821I01014,245.4
IRBINVIT,INE183W23014,89.34
IRFC,INE053F07520,1090
IRFC,INE053F07561,1069
IRFC,INE053F07678,1210
IRFC,INE053F07686,1248
IRFC,INE053F07736,1199
IRFC,INE053F07827,1075
